Time,Precipitation,pressure,humidex,Rosee,Temperature,Chill,Humidite,Dir_wind,Mod_wind
18-12-16_03,0.0,1037.0,-1.0,-2.2,1.0,1.0,79.0,102.0,5.0
18-12-16_04,0.0,1038.0,-2.0,-2.7,0.5,0.5,79.0,77.0,6.0
18-12-16_05,0.0,1038.0,-1.0,-2.6,0.8,0.8,78.0,59.0,6.0
18-12-16_06,0.0,1044.0,-2.0,-2.3,0.4,0.4,82.0,103.0,3.0
18-12-16_07,0.0,1065.0,-2.0,-2.4,0.1,0.1,83.0,250.0,3.0
18-12-16_08,0.0,1011.0,-2.0,-2.3,-0.1,-1.0,85.0,212.0,4.0
18-12-16_09,0.0,1643.0,-2.0,-2.2,0.0,-1.0,85.0,212.0,4.0
18-12-16_10,0.0,1043.0,-1.0,-1.9,0.6,0.6,83.0,105.0,6.0
18-12-16_11,0.0,1039.0,-1.0,-1.9,1.2,1.2,80.0,68.0,8.0
18-12-16_12,0.0,1037.0,-0.0,-1.9,1.5,1.5,78.0,68.0,7.0
18-12-16_13,0.0,1036.0,-0.0,-2.2,1.7,1.7,75.0,72.0,8.0
18-12-16_14,0.0,inf,-2.0,-4.4,0.0,-3.0,72.0,78.0,8.0
18-12-16_15,0.0,1035.0,-0.0,-2.4,1.4,1.4,76.0,71.0,10.0
18-12-16_16,0.0,1035.0,-1.0,-2.5,1.1,1.1,77.0,87.0,9.0
18-12-16_17,0.0,1035.0,-1.0,-2.3,1.1,1.1,78.0,133.0,7.0
18-12-16_18,0.0,1036.0,-1.0,-2.2,0.8,0.8,80.0,141.0,8.0
18-12-16_19,0.0,1054.0,-1.0,-2.1,0.6,0.6,82.0,85.0,7.0
